Year,County,county_tax_receipts_in_millions,LastReportedDate,Unnamed: 4
2019,Meigs,1.0251,2021-02-04,
2001,Monroe,1.7309,2021-02-04,
2010,Monroe,2.4066,2021-02-04,
2019,Monroe,2.8887,2021-02-04,
2001,Montgomery,1.854,2021-02-04,
2010,Montgomery,3.4608,2021-02-04,
2019,Montgomery,4.7822,2021-02-04,
2001,Moore,0.0528,2021-02-04,
2010,Moore,0.0782,2021-02-04,
2019,Moore,0.1689,2021-02-04,
2001,Morgan,0.3841,2021-02-04,
2010,Morgan,0.5601,2021-02-04,
2019,Morgan,0.6705,2021-02-04,
2001,Obion,0.9879,2021-02-04,
2010,Obion,1.3062,2021-02-04,
2019,Obion,1.7313,2021-02-04,
2001,Overton,0.3238,2021-02-04,
2010,Overton,0.4159,2021-02-04,
2019,Overton,0.5222,2021-02-04,
2001,Perry,1.2365,2021-02-04,
2010,Perry,1.5787,2021-02-04,
2019,Perry,1.7933,2021-02-04,
2001,Pickett,0.7648,2021-02-04,
2010,Pickett,1.005,2021-02-04,
2019,Pickett,1.1361,2021-02-04,
2001,Polk,1.4969,2021-02-04,
2010,Polk,2.3196,2021-02-04,
2019,Polk,2.5755,2021-02-04,
2001,Putnam,1.3627,2021-02-04,
2010,Putnam,1.8949,2021-02-04,
2019,Putnam,2.9173,2021-02-04,
2001,Rhea,1.4308,2021-02-04,
2010,Rhea,1.8993,2021-02-04,
2019,Rhea,2.7886,2021-02-04,
2001,Roane,1.9597,2021-02-04,
2010,Roane,3.1387,2021-02-04,
2019,Roane,3.7951,2021-02-04,
2001,Robertson,0.6106,2021-02-04,
2010,Robertson,0.9805,2021-02-04,
2019,Robertson,1.6352,2021-02-04,
2001,Rutherford,3.0721,2021-02-04,
2010,Rutherford,4.9752,2021-02-04,
2019,Rutherford,8.1195,2021-02-04,
2001,Scott,0.4701,2021-02-04,
2010,Scott,0.5936,2021-02-04,
2019,Scott,0.7335,2021-02-04,
2001,Sequatchie,0.3253,2021-02-04,
2010,Sequatchie,0.4229,2021-02-04,
2019,Sequatchie,0.529,2021-02-04,
2001,Sevier,31.4804,2021-02-04,
2010,Sevier,45.3689,2021-02-04,
2019,Sevier,75.2394,2021-02-04,
2001,Shelby,64.3562,2021-02-04,
2010,Shelby,82.5979,2021-02-04,
2019,Shelby,105.1161,2021-02-04,
2001,Smith,0.3035,2021-02-04,
2010,Smith,0.4074,2021-02-04,
2019,Smith,0.5535,2021-02-04,
2001,Stewart,0.7677,2021-02-04,
2010,Stewart,1.0389,2021-02-04,
2019,Stewart,1.3641,2021-02-04,
2001,Sullivan,5.3329,2021-02-04,
2010,Sullivan,7.965,2021-02-04,
2019,Sullivan,11.5203,2021-02-04,
2001,Sumner,1.4242,2021-02-04,
2010,Sumner,2.2128,2021-02-04,
2019,Sumner,3.7196,2021-02-04,
2001,Tipton,0.5546,2021-02-04,
2010,Tipton,0.9052,2021-02-04,
2019,Tipton,1.241,2021-02-04,
2001,Trousdale,0.0804,2021-02-04,
2010,Trousdale,0.1183,2021-02-04,
2019,Trousdale,0.1428,2021-02-04,
2001,Unicoi,0.4914,2021-02-04,
2010,Unicoi,0.6452,2021-02-04,
2019,Unicoi,0.7798,2021-02-04,
2001,Union,0.6806,2021-02-04,
2010,Union,0.9127,2021-02-04,
2019,Union,1.0632,2021-02-04,
2001,VanBuren,0.6904,2021-02-04,
2010,VanBuren,0.8853,2021-02-04,
2019,VanBuren,1.0352,2021-02-04,
2001,Warren,0.7259,2021-02-04,
2010,Warren,0.8409,2021-02-04,
2019,Warren,1.0844,2021-02-04,
2001,Washington,3.2007,2021-02-04,
2010,Washington,4.6059,2021-02-04,
2019,Washington,6.4932,2021-02-04,
2001,Wayne,0.4904,2021-02-04,
2010,Wayne,0.6444,2021-02-04,
2019,Wayne,0.7277,2021-02-04,
2001,Weakley,0.4171,2021-02-04,
2010,Weakley,0.5458,2021-02-04,
2019,Weakley,0.7429,2021-02-04,
2001,White,0.5428,2021-02-04,
2010,White,0.8055,2021-02-04,
2019,White,1.1062,2021-02-04,
2001,Williamson,3.1437,2021-02-04,
2010,Williamson,6.1592,2021-02-04,
2019,Williamson,10.0336,2021-02-04,
2001,Wilson,1.8709,2021-02-04,
2010,Wilson,3.2486,2021-02-04,
2019,Wilson,5.2766,2021-02-04,
