Site Type,Recorded Sites
"miltarylong term hospital, fraternal organization",1
rock shelterpetroglyph,1
"potterytraditional earthenware and-or stoneware, iron_furnace",1
"private cemetery, untyped historic scatter",1
"miltaryshort term hospital, headquarters",1
"rural domestic farmstead, barn, millgrist",1
"public, other",1
"miltaryshort term hospital, other",1
"rock shelter, petroglyph",1
"rural domestic barn, private cemetery",1
"mineiron ore, furnace, company town",1
"religiouschurch, camp meeting, school, parsonage",1
mound complex,1
parsonage,1
"mineindeterminate, furnace, ore processing",1
non-military explosive magazine,1
"road, isolated grave",1
"road, other",1
"rr depot, rr spur",1
"mineindeterminate, road",1
"mineindeterminate, rural domestic house, barn, well",1
rr depot,1
"road, rural domestic untyped structure (privy)",1
"mineiron ore, forge, ore processing",1
"road, tollgate",1
"mineiron ore, road",1
"mineiron ore, furnace, forge, company town",1
rolling mill,1
"rockshelter, lumbering operation",1
pictograph,1
"railroad bridge, coal tipple",1
"minecoal, rural domestic house, farmstead, barn",1
"mineindeterminate, commercial_tavern",1
publiccounty-city office,1
"rock sheltersaltpeter, moonshine still",1
"rural domestic barn, cemetery",1
publiccourthouse,1
"rural domestic barn, boat landing",1
"road, untyped historic scatter",1
"rural domestic farmstead, barn, untyped structure, untyped stone structure (piles, walls), check dam",1
"minegold, rural domestic farmstead",1
"publicpump house, reservoir",1
"mineiron ore, rural domestic farmstead",1
"rock sheltersaltpeter, petroglyph",1
publicreservoir,1
railroad berm,1
railroad bridge,1
rural domestic,1
"rr spur, rr bridge",1
"rr spur, explosive magazine non-military",1
"CCC camp, rural domestic untyped structure, road",1
"rural domestic house, farmstead, barn, cellar",1
"rural domestic farmstead, blacksmith shop, road",1
"rural domestic untyped structure, ferry",1
"rural domestic springhouse, well",1
rural domestic untyped stone feature (piles),1
rural domestic untyped stone feature (wall),1
"rural domestic untyped stone features (fence, retaining walls, retention dam)",1
"rural domestic untyped stone structure (piles, walls), check dams",1
rural domestic untyped stone structure (stone pile),1
"rural domestic untyped structure, cemetery",1
"rural domestic untyped structure, private cemetery",1
"rural domestic springhouse, private cemetery",1
"rural domestic untyped structure, public cemetery",1
"rural domestic untyped structure, rr spur",1
"rural domestic untyped structure, school",1
"rural domestic untyped structure, store",1
"rural domestic well, bridge",1
"rural domestic well, road",1
"rural domestic well, tollgate",1
"rural domestic springhouse, untyped structure, road",1
"rural domestic springhouse, home industryblacksmith shop",1
"rural domestic farmstead, boat landing, shipyard",1
"rural domestic scatter, millindeterminate",1
"rural domestic scatter,  untyped structure (stone wall), road",1
"rural domestic scatter, cemetery (military?), ferry",1
"rural domestic scatter, cemetery, road",1
"rural domestic scatter, cistern",1
"rural domestic scatter, cistern, untyped structure",1
"rural domestic scatter, home industry",1
"rural domestic scatter, house, school, well",1
"rural domestic scatter, petroglyph",1
"rural domestic scatter, untyped structure, road",1
"rural domestic scatter, road, dump",1
"rural domestic scatter, untyped stone feature (cobble foundation and piles)",1
"rural domestic scatter, untyped stone structure",1
"rural domestic scatter, untyped stone structure (fence, road",1
"rural domestic scatter, untyped stone structure (piles, walls), check dam",1
"rural domestic scatter, untyped stone structure (wall)",1
"rural domestic scatter, untyped structure (stone fence)",1
"rural domestic, barn, blacksmith shop",1
"rural domestic, check dam",1
"rural domestic, fish weir",1
"town, abandoned town",1
"stone quarry, rural domestic house, public cemetery",1
"store, rural domestic house, well",1
"store, rural domesticmultiple features, cemetery",1
"store, tavern, warehouse, office, Urban house, rr spur, rr bridge, dump",1
"tavern, inn, city office, post office, rural domestic farmstead, road",1
